available,price,minimum_nights,maximum_nights,room_type,accomodates,bedrooms,beds,total_reviews,join_age,no_of_bath
0.0,80.0,1.33,7.0,Private room,2,1.0,2.0,40.0,2792,1.5
1.0,46.0,1.0,1125.0,Private room,2,1.0,1.0,13.0,2791,1.5
1.0,50.0,9.67,60.0,Entire home/apt,2,1.0,1.0,150.0,3114,1.5
0.0,58.0,2.0,1125.0,Entire home/apt,3,2.0,2.0,17.0,2791,1.0
1.0,65.0,2.0,5.0,Private room,2,1.0,1.0,159.0,2771,1.5
1.0,200.0,2.0,1125.0,Entire home/apt,4,2.0,3.0,22.0,2759,1.5
1.0,200.0,2.0,1125.0,Entire home/apt,4,2.0,3.0,2.0,2759,1.5
0.0,135.0,2.0,1125.0,Entire home/apt,4,2.0,3.0,19.0,2755,2.5
1.0,171.0,2.0,1125.0,Entire home/apt,8,2.0,4.0,272.0,2910,2.0
1.0,219.33,2.0,1125.0,Entire home/apt,8,3.0,4.0,27.0,2910,2.5
0.0,50.0,1.0,1125.0,Private room,2,1.0,1.0,96.0,3557,1.0
1.0,79.67,1.0,1125.0,Entire home/apt,4,1.6022099447513811,2.0,648.0,2966,1.5
1.0,29.0,1.0,1125.0,Private room,3,1.0,1.0,16.0,3564,1.0
0.0,190.0,2.0,60.0,Entire home/apt,6,4.0,4.0,123.0,2705,1.0
1.0,109.0,2.0,1125.0,Private room,2,1.0,1.0,1.0,2685,1.0
0.0,172.33,2.0,1125.0,Entire home/apt,2,1.0,1.0,2.0,2685,1.5
0.0,192.33,2.0,32.0,Entire home/apt,4,2.0,3.0,0.0,2685,1.5
0.0,79.0,7.0,1125.0,Entire home/apt,6,2.0,4.0,6.0,2666,1.0
0.0,36.0,26.0,1125.0,Entire home/apt,3,1.0,1.0,3.0,2666,1.5
1.0,75.0,2.0,30.0,Entire home/apt,2,1.0554016620498614,1.0,31.0,2666,1.0
1.0,99.0,7.0,1125.0,Entire home/apt,2,1.0554016620498614,1.0,44.0,2958,1.0
1.0,186.67,2.0,1125.0,Entire home/apt,4,2.0,2.0,91.0,3407,2.5
1.0,250.0,5.67,1125.0,Entire home/apt,4,2.0,3.0,2.0,3407,2.5
1.0,60.0,1.0,1125.0,Private room,2,1.0,1.0,143.0,2989,1.5
1.0,85.0,30.0,1125.0,Entire home/apt,3,2.0,2.0,84.0,2656,1.0
0.0,75.0,1.0,7.0,Private room,2,1.0,1.0,1.0,2910,2.0
1.0,85.0,2.33,365.0,Entire home/apt,2,1.0,2.0,21.0,2639,1.5
0.0,260.0,2.0,1125.0,Entire home/apt,8,4.0,5.0,195.0,3015,2.5
0.0,50.0,2.67,50.0,Entire home/apt,4,2.0,2.0,91.0,3204,2.0
1.0,85.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,113.0,2606,1.0
1.0,128.33,2.0,1125.0,Entire home/apt,5,2.0,3.0,237.0,2606,1.5
0.0,102.0,2.0,1125.0,Private room,3,1.0,2.0,185.0,2606,1.0
0.0,90.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,101.0,2595,1.0
0.0,70.0,1.0,1125.0,Entire home/apt,2,1.0,1.0,34.0,2591,1.0
1.0,79.0,7.0,1125.0,Entire home/apt,3,1.0,3.0,42.0,2587,1.0
1.0,85.0,1.0,1125.0,Entire home/apt,2,1.0,2.0,58.0,3398,1.5
1.0,51.0,1.0,1125.0,Private room,2,1.0,1.0,43.0,3398,1.0
1.0,125.0,3.0,1125.0,Entire home/apt,2,1.0554016620498614,1.0,28.0,3004,1.0
1.0,135.0,1.0,1125.0,Entire home/apt,3,1.0,2.0,18.0,2602,1.0
1.0,20.0,10.0,1125.0,Private room,1,1.0,1.0,28.0,2569,1.0
0.0,73.0,3.0,1125.0,Entire home/apt,3,1.0,2.0,68.0,2633,1.5
1.0,230.0,2.0,1125.0,Entire home/apt,4,2.0,2.0,75.0,3469,1.5
1.0,65.0,2.0,1125.0,Entire home/apt,3,1.0,1.0,331.0,2666,1.0
0.0,50.0,1.0,1125.0,Private room,2,1.0,1.0,40.0,2772,1.0
1.0,75.0,2.0,1125.0,Entire home/apt,2,1.0554016620498614,1.0,50.0,2564,1.0
1.0,35.0,2.0,1125.0,Private room,2,1.0,1.0,101.0,2799,1.0
1.0,36.0,2.0,1125.0,Entire home/apt,6,1.0,4.0,193.0,2799,1.0
0.0,27.0,2.0,1124.0,Private room,2,1.0,1.0,25.0,2799,1.0
1.0,49.33,3.0,1125.0,Private room,2,1.0,2.0,290.0,2536,1.5
1.0,40.67,2.0,1125.0,Private room,1,1.0,2.0,162.0,2536,1.5
1.0,49.0,2.0,1125.0,Private room,1,1.0,1.0,13.0,2536,1.5
1.0,48.0,2.0,1125.0,Private room,2,1.0,1.0,202.0,2536,1.5
0.0,220.0,10.0,1125.0,Private room,7,4.0,5.0,1.0,2536,1.5
1.0,150.0,5.0,1125.0,Private room,4,2.0,3.0,2.0,2536,1.5
0.0,40.0,7.0,180.0,Private room,4,2.0,2.0,109.0,2579,1.5
0.0,69.0,1.67,4.0,Entire home/apt,2,1.0,1.0,19.0,2526,1.5
0.0,516.67,3.0,1125.0,Entire home/apt,10,5.0,6.0,121.0,3104,3.5
0.0,45.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,42.0,2649,1.0
0.0,128.33,2.0,365.0,Entire home/apt,2,1.0,1.0,188.0,2518,1.0
1.0,121.67,2.0,1123.0,Entire home/apt,2,1.0,1.0,219.0,2518,1.5
1.0,68.33,2.0,1125.0,Entire home/apt,3,1.0,2.0,42.0,2518,1.0
1.0,50.0,5.0,1125.0,Entire home/apt,2,1.0,1.0,48.0,2511,1.0
1.0,58.0,7.0,1125.0,Entire home/apt,4,1.0,2.0,11.0,2511,1.0
0.0,70.0,2.0,1125.0,Entire home/apt,2,2.0,2.0,16.0,2497,1.5
1.0,61.67,2.0,1125.0,Entire home/apt,3,1.2846153846153847,2.0,22.0,2494,1.0
0.0,80.0,7.0,1125.0,Entire home/apt,5,2.0,4.0,37.0,2490,1.0
1.0,50.0,7.0,1125.0,Entire home/apt,2,1.0,1.0,136.0,2939,1.0
1.0,64.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,303.0,2630,1.5
1.0,50.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,257.0,2630,1.5
1.0,66.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,80.0,2630,1.0
1.0,38.0,1.0,1125.0,Private room,1,1.0,1.0,285.0,2588,2.0
1.0,38.0,1.0,1125.0,Private room,1,1.0,1.0,187.0,2588,2.0
1.0,80.0,14.0,1125.0,Entire home/apt,3,2.0,1.0,32.0,2475,1.5
1.0,99.0,1.0,1125.0,Private room,2,1.0,1.0,0.0,2534,1.5
0.0,60.0,2.0,1125.0,Entire home/apt,2,1.0,1.0,102.0,3042,1.0
